Title	channel_title	published_at	category_id	view_count	like_count	comment_count	favorite_count	duration	definition	caption	engagement_rate	likes_to_views_ratio	comments_to_views_ratio	duration_seconds	video_age_days
#09 Time to say Goodbye to the family | Back to KeralaðŸ #chuttidays	therainbowgirl	2023-01-02 13:15:49+00:00	24	12159389	660770	1163	0	PT58S	hd	FALSE	0.05443801	0.054342364	9.56E-05	58	1050
Comic con India ! #minitravelvlog #travelvideo #lucknowdairies #travelvlog #travel #tripvlog #vlog	Ravi Gupta Shorts	2023-12-10 05:35:28+00:00	23	13932097	422333	2434	0	PT1M1S	hd	FALSE	0.030488373	0.030313668	0.000174704	61	709
I found something very strange in Hong Kong #ytshorts #vlog #hongkong #china	wittySpace	2025-08-25 14:43:33+00:00	22	20523429	509228	831	0	PT1M2S	hd	FALSE	0.024852522	0.024812032	4.05E-05	62	84
#377 Journey to Jagannath Puri begins	therainbowgirl	2024-02-22 13:30:35+00:00	24	11446081	423280	1423	0	PT54S	hd	FALSE	0.037104662	0.03698034	0.000124322	54	634
#520 Reached back KOCHI | Train Journey ENDS	therainbowgirl	2024-07-27 13:30:23+00:00	24	10471672	328349	657	0	PT1M	hd	FALSE	0.031418666	0.031355926	6.27E-05	60	478
I traveled 4777 Kms for Fried Chicken!!ðŸ˜®ðŸ˜‹	Cassius Clyde Pereira	2025-09-25 13:00:15+00:00	22	16683690	501485	3225	0	PT1M	hd	FALSE	0.030251699	0.030058397	0.000193303	60	53
Pahado ki shadi ðŸ’•ðŸ˜ #love #daizyaizy #travel	Daizy Aizy Vlogs	2025-04-21 11:39:38+00:00	22	18040928	528127	649	0	PT41S	hd	FALSE	0.029309799	0.029273825	3.60E-05	41	210
I entered the most restricted and sanctioned country in europe, Russia #minivlog #travel #ytshorts	wittySpace	2025-09-18 14:42:30+00:00	22	17758509	513021	1254	0	PT1M10S	hd	FALSE	0.028959355	0.028888741	7.06E-05	70	60
Unboxing the $22,000 Emirates FIRST Class!	Dhruv Rathee Vlogs	2023-01-11 16:20:00+00:00	22	9473272	158788	5546	0	PT15M19S	hd	TRUE	0.01734712	0.016761683	0.000585437	919	1041
Banaras vlog. #minivlog #minitravelvlog #travelvideo #vlog #minitrip #travelvlog #food #tripvlog	Ravi Gupta Shorts	2024-01-30 08:50:10+00:00	23	11263666	484183	2584	0	PT1M1S	hd	FALSE	0.043215677	0.042986267	0.00022941	61	658
Charusheela going to Bangalore | Telugu mini vlogs | Travel vlogs | Telugu comedy vlogs | Tejaswi	TEJASWI ANUMOLE	2024-11-23 11:39:45+00:00	23	12047447	285946	606	0	PT1M	hd	FALSE	0.023785286	0.023734985	5.03E-05	60	359
50 Best Places to Visit in the USA - Travel Video	touropia	2023-11-22 18:05:02+00:00	19	9071996	51323	1895	0	PT56M50S	hd	FALSE	0.005866184	0.005657299	0.000208885	3410	726
